Landowners | Budget | Expected Damage | Run Time | Allocation | Levels | Total Budget Used | Remaining Budget | Maximum Amount Offered | Level Amounts | Area of Each Landowner
3|23000|126.873128031|89.336043585|[1, 4, 0]|5|22889.9910381|110.008961928|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|23000|128.022329142|90.0848120354|[2, 2, 1]|6|22087.3773568|912.622643173|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|23000|127.714688381|88.9871053653|[3, 1, 0]|7|21644.1600736|1355.83992638|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|23000|124.569456672|88.1119066961|[2, 5, 0]|8|22705.4538643|294.546135727|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|23000|125.864109112|90.1981104139|[2, 6, 0]|9|22278.5578689|721.442131117|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|23000|125.531467375|88.9533670464|[4, 2, 1]|10|22956.9711975|43.028802549|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|138.051011176|88.8932202146|[0, 1, 1]|2|19014.7103883|4985.28961171|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|131.647112227|90.299576261|[1, 1, 1]|3|21529.3369433|2470.66305674|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|131.402604987|89.5703476241|[1, 2, 1]|4|20782.9865959|3217.01340411|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|126.873128031|88.0637037758|[1, 4, 0]|5|22889.9910381|1110.00896193|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|126.283201274|88.0335482502|[1, 4, 2]|6|23933.7332931|66.2667069189|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|122.95661169|90.6928559671|[2, 4, 0]|7|23274.6485248|725.351475209|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|124.569456672|88.3721493985|[2, 5, 0]|8|22705.4538643|1294.54613573|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|122.446039007|90.7909693841|[3, 4, 0]|9|23466.9772682|533.022731849|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|24000|123.477609496|91.2198755507|[3, 5, 0]|10|23002.9004496|997.099550403|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|25000|121.890713083|88.6169003687|[1, 0, 0]|2|24043.9634982|956.036501769|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|25000|131.647112227|89.9034120737|[1, 1, 1]|3|21529.3369433|3470.66305674|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|25000|121.890713083|91.5360299761|[2, 0, 0]|4|24043.9634982|956.036501769|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|25000|126.873128031|88.7077847161|[1, 4, 0]|5|22889.9910381|2110.00896193|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|25000|120.923155091|89.16302831|[2, 3, 0]|6|24071.5210495|928.478950482|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
